Shuffle,Fold,n_estimators,lr,depth,MSE,MSE_B,RMSE,RMSE_B,R-squared,R-squared_B,MAE,MAE_B,MAPE,MAPE_B
4,4,200,0.001,9,10653624.31,2467930.66,3263.989018,1570.964882,0.301946263,0.838294634,2632.171207,1144.122696,1.08005E+13,4.12612E+12
4,5,200,0.001,9,10780522.86,2527950.814,3283.370655,1589.953085,0.298342423,0.835466622,2644.474678,1165.511684,3.62503E+12,1.43098E+12
5,1,200,0.001,9,10826179.73,2439216.203,3290.316053,1561.799028,0.301034162,0.842517967,2662.188013,1129.083643,1.04354E+13,4.15116E+12
5,2,200,0.001,9,10452875.86,2609792.14,3233.09076,1615.48511,0.301963376,0.825719685,2593.992038,1165.243188,7.00511E+12,3.03071E+12
5,3,200,0.001,9,10600533.94,2352805.637,3255.846117,1533.885796,0.30385846,0.84549026,2617.678981,1132.086554,3.41182E+12,1.34594E+12
5,4,200,0.001,9,10754255.12,2449751.168,3279.368097,1565.168096,0.305801812,0.841866052,2647.56553,1164.183525,43.88844542,11.874076
5,5,200,0.001,9,11004670.09,2537576.503,3317.328758,1592.977245,0.298179259,0.838166541,2668.036631,1161.515514,7.30945E+12,2.6756E+12
6,1,200,0.001,9,10726469.28,2493001.94,3275.128895,1578.924298,0.300651866,0.837460379,2644.580611,1154.036783,7.16843E+12,2.95699E+12
6,2,200,0.001,9,10924595.93,2560272.379,3305.237651,1600.085116,0.303568835,0.836785407,2648.056761,1176.852351,45.81613013,12.15302435
6,3,200,0.001,9,10479027.35,2429237.758,3237.132582,1558.601218,0.298295133,0.837331472,2590.112909,1133.64966,3.64879E+12,1.25413E+12
6,4,200,0.001,9,10700685.63,2495905.431,3271.190247,1579.843483,0.302316097,0.837267152,2648.286535,1163.586874,1.0793E+13,4.24296E+12
6,5,200,0.001,9,10888820.82,2410695.354,3299.821332,1552.641412,0.301280796,0.845309316,2666.638792,1123.973153,7.18174E+12,2.75088E+12
7,1,200,0.001,9,10518899.68,2366937.303,3243.285322,1538.485393,0.300720217,0.842649759,2610.3727,1140.014235,1.0844E+13,4.02058E+12
7,2,200,0.001,9,10416425.04,2536289,3227.448689,1592.573075,0.303439363,0.830394874,2589.629094,1173.17302,3.4832E+12,1.43047E+12
7,3,200,0.001,9,11188958.12,2399660.384,3344.990003,1549.083724,0.303325041,0.85058633,2722.40033,1121.913237,7.02081E+12,2.87052E+12
7,4,200,0.001,9,10800661.62,2535459.757,3286.436006,1592.312707,0.297945237,0.835192356,2625.898183,1152.282443,48.20236528,12.5793664
7,5,200,0.001,9,10780416.74,2550830.501,3283.354495,1597.131961,0.300792205,0.834555508,2643.484844,1164.72639,7.10043E+12,2.88191E+12
8,1,200,0.001,9,10562259.1,2449884.547,3249.962938,1565.210704,0.300948684,0.837857129,2607.203712,1145.060656,43.76934895,11.8085078
8,2,200,0.001,9,10776013.76,2484125.782,3282.683926,1576.110968,0.297152428,0.837977028,2634.357342,1158.904454,1.46656E+13,5.8682E+12
8,3,200,0.001,9,11078426.96,2434418.882,3328.4271,1560.26244,0.303306714,0.846905766,2693.071064,1123.207895,3.51758E+12,1.34594E+12
8,4,200,0.001,9,10148356.63,2448324.283,3185.648541,1564.712205,0.301368278,0.831452808,2549.996613,1153.792397,3.68249E+12,1.33071E+12
8,5,200,0.001,9,11176645.51,2572400.068,3343.149042,1603.87034,0.301754475,0.839292851,2714.374614,1171.146751,7.26682E+12,2.65903E+12
9,1,200,0.001,9,10406668.71,2355600.008,3225.936873,1534.796406,0.30139984,0.841868461,2594.315676,1138.874065,6.80046E+12,2.72069E+12
9,2,200,0.001,9,10603744.6,2533869.974,3256.33914,1591.813423,0.300919559,0.832947793,2606.506037,1155.564178,44.59340496,11.63361138
9,3,200,0.001,9,11043269.88,2681285.658,3323.141568,1637.463178,0.30126008,0.83034723,2686.314398,1174.503937,3.62819E+12,1.62675E+12
9,4,200,0.001,9,10589768.14,2508774.496,3254.192394,1583.911139,0.305701175,0.835516778,2623.666724,1168.815445,3.49952E+12,1.40446E+12
9,5,200,0.001,9,11055545.45,2309551.244,3324.988037,1519.720778,0.298107293,0.853371579,2684.076684,1114.339626,1.44987E+13,5.453E+12
10,1,200,0.001,9,10637317.46,2497129.246,3261.490067,1580.230757,0.297928985,0.835187577,2626.84816,1157.453869,3.68082E+12,1.33024E+12
10,2,200,0.001,9,10429801.98,2300640.181,3229.520395,1516.786136,0.301068862,0.84582746,2599.288117,1127.648375,1.4189E+13,5.4971E+12
10,3,200,0.001,9,10357825.96,2496356.013,3218.357649,1579.98608,0.303447335,0.832122741,2588.473682,1152.591719,3.40623E+12,1.40395E+12
10,4,200,0.001,9,11215485.13,2562192.361,3348.952841,1600.684966,0.302581832,0.8406739,2700.761099,1163.661688,3.45636E+12,1.34489E+12
10,5,200,0.001,9,11094551.55,2532862.269,3330.848474,1591.496864,0.299123955,0.839991506,2684.551489,1150.752749,3.43537E+12,1.62733E+12
1,1,200,0.001,15,10517562.55,2561519.826,3243.079177,1600.474875,0.302286575,0.830074054,2599.362504,1179.94434,6.40194E+12,2.72069E+12
1,2,200,0.001,15,10626535.8,2357232.627,3259.836775,1535.328182,0.306881723,0.846248952,2610.849325,1107.778047,7.27405E+12,2.67465E+12
1,3,200,0.001,15,10728176.03,2517434.469,3275.389447,1586.642515,0.306417196,0.837246401,2631.637827,1153.791853,9.51198E+12,4.37665E+12
1,4,200,0.001,15,11037908.11,2468380.509,3322.334738,1571.108051,0.303231765,0.844183417,2703.347232,1155.781088,45.35884999,11.72050115
1,5,200,0.001,15,10524130.83,2484561.957,3244.09168,1576.249332,0.305727971,0.8360946,2610.595578,1154.811709,3.68067E+12,1.43098E+12
2,1,200,0.001,15,10640511.47,2540958.003,3261.979685,1594.038269,0.302738354,0.833493666,2600.445432,1165.424087,1.06413E+13,4.30293E+12
2,2,200,0.001,15,11083053.56,2572295.482,3329.122041,1603.837735,0.30640108,0.839020776,2678.428379,1169.131632,3.08396E+12,1.40395E+12
2,3,200,0.001,15,10744617.55,2439840.564,3277.898343,1561.9989,0.305897753,0.84238631,2642.721453,1151.473161,7.34712E+12,2.77488E+12
2,4,200,0.001,15,10302972.18,2317091.729,3209.824322,1522.199635,0.306530631,0.844041883,2600.242348,1109.507874,41.91903399,11.30816362
2,5,200,0.001,15,10609222.21,2518901.902,3257.180101,1587.104881,0.306417756,0.835325757,2621.624496,1156.554402,6.81697E+12,2.72166E+12
3,1,200,0.001,15,10704485.61,2422130.224,3271.771021,1556.319448,0.305765412,0.842913836,2626.024071,1132.545621,45.80604595,12.16165702
3,2,200,0.001,15,10542068.98,2478811.495,3246.855245,1574.424179,0.306174208,0.836857134,2601.305007,1140.073835,3.67917E+12,1.43047E+12
3,3,200,0.001,15,11078891.94,2348037.962,3328.496949,1532.330892,0.308372155,0.853417793,2705.157543,1128.383862,48.33673404,11.94293953
3,4,200,0.001,15,10099911.27,2492300.241,3178.035757,1578.702075,0.301871022,0.827726504,2545.036408,1155.420371,7.29286E+12,2.97222E+12
3,5,200,0.001,15,10890908,2647916.255,3300.137573,1627.241916,0.308168901,0.831794483,2659.500979,1195.6978,1.6292E+13,6.80325E+12
4,1,200,0.001,15,10751914.41,2519416.125,3279.011195,1587.266873,0.307600814,0.837755249,2648.081208,1164.622335,3.67317E+12,1.34441E+12
4,2,200,0.001,15,10659568.36,2387921.616,3264.899441,1545.29014,0.30266323,0.843784899,2623.248312,1121.290901,3.10409E+12,1.62675E+12
4,3,200,0.001,15,10704380.7,2485925.487,3271.754987,1576.681797,0.305922763,0.838811385,2628.8169,1156.559078,6.17948E+12,2.67618E+12
4,4,200,0.001,15,10612225.21,2467930.66,3257.64105,1570.964882,0.304658842,0.838294634,2625.74345,1144.122696,1.05832E+13,4.12612E+12
4,5,200,0.001,15,10723340.54,2527950.814,3274.651209,1589.953085,0.302064172,0.835466622,2634.009368,1165.511684,3.66703E+12,1.43098E+12
5,1,200,0.001,15,10768381.71,2439216.203,3281.521249,1561.799028,0.30476575,0.842517967,2654.262134,1129.083643,1.00105E+13,4.15116E+12
5,2,200,0.001,15,10386915.07,2609792.14,3222.873729,1615.48511,0.306368197,0.825719685,2584.237417,1165.243188,6.29663E+12,3.03071E+12
5,3,200,0.001,15,10547628.4,2352805.637,3247.711255,1533.885796,0.307332789,0.84549026,2610.883154,1132.086554,3.09735E+12,1.34594E+12
5,4,200,0.001,15,10682631.78,2449751.168,3268.429559,1565.168096,0.310425172,0.841866052,2637.106139,1164.183525,43.7450097,11.874076
5,5,200,0.001,15,10923970.26,2537576.503,3305.143001,1592.977245,0.303325875,0.838166541,2653.244769,1161.515514,7.17941E+12,2.6756E+12
6,1,200,0.001,15,10686617.57,2493001.94,3269.039243,1578.924298,0.303250132,0.837460379,2636.776885,1154.036783,7.46256E+12,2.95699E+12
6,2,200,0.001,15,10875446.39,2560272.379,3297.79417,1600.085116,0.306702065,0.836785407,2641.399096,1176.852351,45.69680595,12.15302435
6,3,200,0.001,15,10435210.9,2429237.758,3230.357704,1558.601218,0.301229205,0.837331472,2582.555533,1133.64966,3.67516E+12,1.25413E+12
6,4,200,0.001,15,10636450.94,2495905.431,3261.357224,1579.843483,0.306504194,0.837267152,2639.593823,1163.586874,1.04207E+13,4.24296E+12
